year,figure,breakdown,disaggregation,indicator,measure
2019,47.1,West Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,49,West Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,52.2,West Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,60.8,West Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,51.4,West Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,58.4,West Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,45.4,West Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,50.5,West Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,51,West Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,51,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,42,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,44,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,41,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,43,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,47,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,44,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,51,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,52,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,49,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,54,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,48,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,56,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,46,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,48,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,51,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,54,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,57,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,50,Another religion,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,53,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,54,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,57,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,55,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,56,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,55,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,59,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,60,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,61,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,62,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,63,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,61,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,62,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,62,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,63,Church of Scotland,Religion,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
